,City,Country,Latitude,Longitude,Clouduness (Percent),Wind Speed,Humidity,Temperature fahrenhiet,Converted Date
0,Rikitea,PF,-23.12,-134.97,58,1.92,69,75.61400000000003,2020-05-10
1,Jalor,IN,25.35,72.62,0,3.46,52,85.85600000000002,2020-05-10
2,Mataura,NZ,-46.19,168.86,60,0.91,65,61.30400000000006,2020-05-10
3,Bredasdorp,ZA,-34.53,20.04,0,2.1,93,53.6,2020-05-10
4,Tasiilaq,GL,65.61,-37.64,18,7.2,87,32.0,2020-05-10
5,Portobelo,PA,9.55,-79.65,74,2.97,89,79.62800000000007,2020-05-10
6,Khovd,MN,48.01,91.64,0,1.89,34,52.7,2020-05-10
7,Saint-Philippe,RE,-21.36,55.77,75,4.1,82,64.4,2020-05-10
8,Salalah,OM,17.02,54.09,75,1.0,83,82.4,2020-05-10
9,Kuril'sk,RU,45.23,147.88,99,2.19,61,49.208000000000006,2020-05-10
10,Ostrovnoy,RU,68.05,39.51,100,3.07,96,34.17800000000007,2020-05-10
11,Marzuq,YE,14.4,46.47,70,1.26,25,74.82200000000003,2020-05-10
12,Ushuaia,AR,-54.8,-68.3,15,0.28,81,42.8,2020-05-10
13,Banjar,ID,-8.19,114.97,40,5.7,89,84.2,2020-05-10
14,Hithadhoo,MV,-0.6,73.08,98,4.78,75,84.88399999999999,2020-05-10
15,East London,ZA,-33.02,27.91,0,1.5,82,55.400000000000006,2020-05-10
16,Kahului,US,20.89,-156.47,75,7.2,61,71.88800000000005,2020-05-10
17,Bluff,NZ,-46.6,168.33,39,2.38,73,59.342,2020-05-10
18,Zhigalovo,RU,54.81,105.16,100,6.37,81,48.00200000000008,2020-05-10
19,Boddam,GB,57.47,-1.78,75,6.7,86,39.36200000000006,2020-05-10
20,Cape Town,ZA,-33.93,18.42,75,1.0,100,55.400000000000006,2020-05-10
21,Saint Paul Harbor,US,57.79,-152.41,90,2.1,75,46.4,2020-05-10
22,Hobart,AU,-42.88,147.33,40,5.7,40,52.483999999999995,2020-05-10
23,Hasaki,JP,35.73,140.83,75,4.6,88,70.934,2020-05-10
24,Nioro,GM,13.35,-15.75,75,3.88,82,69.99800000000002,2020-05-10
25,Sosnovka,RU,56.26,51.28,2,4.5,71,60.98000000000005,2020-05-10
26,Faanui,PF,-16.48,-151.75,26,7.96,82,81.44600000000005,2020-05-10
27,Markova,UA,48.68,24.41,87,1.82,78,47.69600000000005,2020-05-10
28,Nabire,ID,-3.37,135.48,62,1.53,75,86.05400000000006,2020-05-10
29,Te Anau,NZ,-45.42,167.72,97,3.13,63,58.87400000000001,2020-05-10
30,Khatanga,RU,71.97,102.5,86,5.22,98,29.678000000000065,2020-05-10
31,Causapscal,CA,48.35,-67.23,100,4.21,66,39.992,2020-05-10
32,Mount Isa,AU,-20.73,139.5,0,6.7,20,82.4,2020-05-10
33,Norman Wells,CA,65.28,-126.83,5,7.7,45,48.2,2020-05-10
34,Touros,BR,-5.2,-35.46,40,1.5,94,73.4,2020-05-10
35,Tiksi,RU,71.69,128.87,0,2.46,94,26.24000000000002,2020-05-10
36,Tabuk,PH,17.42,121.44,53,2.02,59,89.54600000000005,2020-05-10
37,Avarua,CK,-21.21,-159.78,6,7.2,78,80.6,2020-05-10
38,Takoradze,GH,4.88,-1.76,98,3.44,89,80.07800000000006,2020-05-10
39,Butaritari,KI,3.07,172.79,66,3.15,75,84.11000000000008,2020-05-10
40,Kalengwa,ZM,-13.47,25.0,82,1.83,82,54.391999999999996,2020-05-10
41,Punta Arenas,CL,-53.15,-70.92,90,2.1,93,42.38600000000007,2020-05-10
42,Westport,US,41.14,-73.36,1,4.1,69,35.99600000000005,2020-05-10
43,Kalabo,ZM,-14.97,22.68,41,2.26,71,58.946000000000055,2020-05-10
44,Jamestown,US,42.1,-79.24,90,4.6,64,35.6,2020-05-10
45,São João da Barra,BR,-21.64,-41.05,0,2.65,65,68.792,2020-05-10
46,Gigmoto,PH,13.78,124.39,86,1.66,59,88.17800000000007,2020-05-10
47,College,US,64.86,-147.8,75,1.5,20,71.56400000000004,2020-05-10
48,Kamiiso,JP,41.82,140.65,75,6.7,87,57.2,2020-05-10
49,Yellowknife,CA,62.46,-114.35,20,5.7,55,33.40400000000005,2020-05-10
50,Colomi,BO,-17.35,-65.87,71,0.79,50,55.400000000000006,2020-05-10
51,Busselton,AU,-33.65,115.33,42,1.3,39,62.99600000000005,2020-05-10
52,Vaini,TO,-21.2,-175.2,75,3.1,94,77.0,2020-05-10
53,Atuona,PF,-9.8,-139.03,82,7.7,78,80.88800000000005,2020-05-10
54,New Norfolk,AU,-42.78,147.06,67,1.34,69,50.21600000000001,2020-05-10
55,Katsuura,JP,35.13,140.3,90,7.2,94,69.76400000000004,2020-05-10
56,Carnarvon,AU,-24.87,113.63,100,4.75,41,77.32400000000001,2020-05-10
57,Rocha,UY,-34.48,-54.33,0,3.46,86,50.846000000000046,2020-05-10
58,Waingapu,ID,-9.66,120.26,0,6.62,67,84.63200000000002,2020-05-10
59,La Providencia,MX,28.72,-111.58,0,2.24,77,75.66800000000009,2020-05-10
60,Narsaq,GL,60.92,-46.05,0,9.8,23,51.8,2020-05-10
61,Arraial do Cabo,BR,-22.97,-42.03,0,5.47,69,70.75400000000005,2020-05-10
62,Vostok,RU,46.49,135.88,100,1.73,92,46.07600000000009,2020-05-10
63,Port Alfred,ZA,-33.59,26.89,0,3.32,79,62.99600000000005,2020-05-10
64,Abéché,TD,13.83,20.83,0,4.78,14,77.07200000000003,2020-05-10
65,Punta Alta,AR,-38.88,-62.07,0,5.05,50,58.64000000000002,2020-05-10
66,Port Hardy,CA,50.7,-127.42,40,3.1,42,68.0,2020-05-10
67,Albany,US,42.6,-73.97,34,4.95,46,37.09400000000007,2020-05-10
68,Sagua de Tánamo,CU,20.58,-75.24,100,1.66,80,76.208,2020-05-10
69,Charter Township of Clinton,US,42.59,-82.92,20,3.6,39,43.82600000000009,2020-05-10
70,Pisco,PE,-13.7,-76.22,33,5.7,88,66.542,2020-05-10
71,Uvalde,US,29.37,-99.77,1,3.6,64,69.26000000000008,2020-05-10
72,Saskylakh,RU,71.92,114.08,100,3.2,97,26.672000000000036,2020-05-10
73,Sungai Raya,ID,0.7,108.9,12,1.36,57,90.44600000000005,2020-05-10
74,Vidim,RU,56.41,103.11,100,6.27,81,52.141999999999996,2020-05-10
75,Ulaangom,MN,49.98,92.07,0,1.68,33,55.184,2020-05-10
76,Kapaa,US,22.08,-159.32,75,7.7,69,75.84800000000003,2020-05-10
77,San Quintín,MX,30.48,-115.95,0,3.16,80,64.92200000000004,2020-05-10
78,Richmond,US,37.55,-77.46,1,1.5,56,39.128000000000064,2020-05-10
79,Port Elizabeth,ZA,-33.92,25.57,0,1.5,93,55.400000000000006,2020-05-10
80,Mackay,AU,-21.15,149.2,0,4.1,65,80.47400000000002,2020-05-10
81,Vila,PT,42.03,-8.16,75,1.5,93,50.846000000000046,2020-05-10
82,George Town,MY,5.41,100.34,20,1.5,84,85.13600000000008,2020-05-10
83,New Glasgow,CA,45.58,-62.65,93,8.94,91,34.73600000000007,2020-05-10
84,Hermanus,ZA,-34.42,19.23,0,2.77,75,59.0,2020-05-10
85,Shenjiamen,CN,29.96,122.3,100,3.28,95,61.7,2020-05-10
86,Nikolskoye,RU,59.7,30.79,85,2.0,60,41.018000000000086,2020-05-10
87,Pāsighāt,IN,28.07,95.33,0,1.05,38,87.00800000000001,2020-05-10
88,Barrow,US,71.29,-156.79,1,2.6,92,30.2,2020-05-10
89,Upernavik,GL,72.79,-56.15,100,4.73,94,16.28600000000007,2020-05-10
90,Hamilton,US,39.18,-84.53,1,1.03,59,40.67600000000009,2020-05-10
91,Veshenskaya,RU,49.63,41.73,88,4.69,85,47.62400000000001,2020-05-10
92,Druzhba,UA,52.04,33.95,100,3.21,86,44.47400000000001,2020-05-10
93,Piaçabuçu,BR,-10.41,-36.43,96,2.2,74,78.24199999999999,2020-05-10
94,Hilo,US,19.73,-155.09,90,2.6,57,77.57600000000009,2020-05-10
95,Port Macquarie,AU,-31.43,152.92,0,0.89,38,68.03600000000007,2020-05-10
96,High Level,CA,58.52,-117.14,75,1.5,45,46.4,2020-05-10
97,Vila Franca do Campo,PT,37.72,-25.43,75,10.3,93,62.6,2020-05-10
98,Laas,IT,46.62,10.7,75,3.6,93,51.54800000000003,2020-05-10
99,Isabela,PH,6.71,121.97,40,2.1,74,87.80000000000001,2020-05-10
100,Lebu,CL,-37.62,-73.65,93,5.13,86,56.696000000000055,2020-05-10
101,Hambantota,LK,6.12,81.12,60,2.04,75,84.36200000000005,2020-05-10
102,Xai-Xai,MZ,-25.05,33.64,10,2.52,80,67.53200000000001,2020-05-10
103,Meulaboh,ID,4.14,96.13,100,1.99,76,84.12800000000007,2020-05-10
104,Severo-Kuril'sk,RU,50.68,156.12,90,7.55,87,34.66400000000003,2020-05-10
105,Damaturu,NG,11.75,11.96,84,0.73,26,88.19600000000005,2020-05-10
106,Chui,UY,-33.7,-53.46,4,4.02,78,55.616000000000014,2020-05-10
107,Laguna,US,38.42,-121.42,1,3.6,46,74.73200000000003,2020-05-10
108,Puerto Ayora,EC,-0.74,-90.35,7,2.36,92,77.0,2020-05-10
109,Pucara,PE,-15.98,-71.46,94,0.44,62,41.86400000000003,2020-05-10
110,Liku,ID,-0.73,119.89,76,1.12,65,86.57600000000009,2020-05-10
111,Kiryat Gat,IL,31.61,34.76,6,1.96,79,58.604000000000056,2020-05-10
112,Kysyl-Syr,RU,63.9,122.76,0,3.53,84,35.79800000000002,2020-05-10
113,Namatanai,PG,-3.67,152.43,22,4.56,68,86.97200000000004,2020-05-10
114,Lompoc,US,34.64,-120.46,90,2.6,87,54.66200000000006,2020-05-10
115,Bengkulu,ID,-3.8,102.27,49,1.26,76,81.69800000000004,2020-05-10
116,Kiama,AU,-34.68,150.87,0,2.68,38,62.312000000000054,2020-05-10
117,Mar del Plata,AR,-38.0,-57.56,0,5.35,93,51.602000000000075,2020-05-10
118,Santa Marta,CO,11.24,-74.2,76,7.04,84,82.99400000000009,2020-05-10
119,Zhigansk,RU,66.77,123.37,37,4.12,96,26.564000000000032,2020-05-10
120,Sorong,ID,-0.88,131.25,96,4.84,72,86.9,2020-05-10
121,Chokurdakh,RU,70.63,147.92,61,4.18,98,29.372000000000035,2020-05-10
122,Siniscola,IT,40.57,9.69,100,3.29,86,60.42200000000004,2020-05-10
123,Torbay,CA,47.67,-52.73,90,10.8,100,44.294000000000075,2020-05-10
124,Atar,MR,20.52,-13.05,67,4.39,15,82.31000000000009,2020-05-10
125,Saint George,US,37.1,-113.58,1,3.1,10,84.32600000000009,2020-05-10
126,Thompson,CA,55.74,-97.86,75,6.7,63,28.4,2020-05-10
127,Nurobod,UZ,40.91,69.8,0,2.1,60,69.80000000000001,2020-05-10
128,Bachaquero,VE,9.97,-71.15,7,1.86,72,85.04600000000005,2020-05-10
129,Sosnovo-Ozerskoye,RU,52.52,111.54,98,8.41,47,49.62200000000004,2020-05-10
130,Sarankhola,BD,22.31,89.79,0,1.14,40,94.96400000000003,2020-05-10
131,Kichera,RU,55.94,110.1,100,4.81,84,36.14000000000002,2020-05-10
132,Qaqortoq,GL,60.72,-46.03,0,9.8,23,51.8,2020-05-10
133,Beloha,MG,-25.17,45.05,14,5.46,88,64.81400000000004,2020-05-10
134,Martaban,MM,16.53,97.61,7,2.31,54,91.22000000000006,2020-05-10
135,Borba,BR,-4.39,-59.59,56,0.77,96,74.80400000000006,2020-05-10
136,Husavik,IS,66.04,-17.34,0,6.7,79,21.2,2020-05-10
137,Safi,MA,32.3,-9.24,78,2.75,79,63.82400000000001,2020-05-10
138,Tautira,PF,-17.73,-149.15,67,2.6,70,84.2,2020-05-10
139,Qaanaaq,GL,77.48,-69.36,98,2.24,83,8.978000000000065,2020-05-10
140,Waitara,NZ,-38.92,174.25,5,1.79,74,60.76400000000004,2020-05-10
141,San Ignacio,BZ,17.16,-89.07,100,3.13,86,78.00800000000001,2020-05-10
142,Esim,GH,4.87,-2.24,100,3.82,88,80.79800000000003,2020-05-10
143,Ilulissat,GL,69.22,-51.1,100,2.1,86,30.2,2020-05-10
144,Terney,RU,45.05,136.61,100,2.76,91,44.45600000000003,2020-05-10
145,Ambon City,ID,-3.7,128.18,40,3.6,66,89.6,2020-05-10
146,San Cristobal,VE,7.77,-72.22,97,1.45,89,66.74000000000002,2020-05-10
147,Birin,NP,26.89,88.07,0,1.9,39,74.51600000000002,2020-05-10
148,Tezu,IN,27.92,96.17,0,1.54,29,90.15800000000002,2020-05-10
149,Hohhot,CN,40.81,111.65,20,8.0,22,55.400000000000006,2020-05-10
150,Coquimbo,CL,-29.95,-71.34,0,1.0,87,51.8,2020-05-10
151,Pevek,RU,69.7,170.31,100,7.13,78,36.68000000000004,2020-05-10
152,Jumla,NP,29.27,82.18,65,0.89,78,62.99600000000005,2020-05-10
153,Phaphūnd,IN,26.6,79.47,0,5.22,18,95.91800000000009,2020-05-10
154,Ponta do Sol,PT,32.67,-17.1,40,1.0,63,60.69199999999999,2020-05-10
155,Esperance,AU,-33.87,121.9,0,8.7,51,60.8,2020-05-10
156,Iqaluit,CA,63.75,-68.51,90,7.7,93,32.0,2020-05-10
157,Springdale,US,36.19,-94.13,1,2.1,54,51.89000000000002,2020-05-10
158,Bambous Virieux,MU,-20.34,57.76,40,3.6,73,72.26600000000002,2020-05-10
159,Vestmannaeyjar,IS,63.44,-20.27,84,4.39,88,37.274000000000015,2020-05-10
160,Lusambo,CD,-4.97,23.45,89,0.75,92,70.30400000000006,2020-05-10
161,Gwadar,PK,25.12,62.33,2,2.48,69,83.62400000000002,2020-05-10
162,Broome,US,42.25,-75.83,90,5.1,86,30.05600000000003,2020-05-10
163,Okhotsk,RU,59.38,143.3,0,4.3,53,46.72400000000001,2020-05-10
164,Jiangkou,CN,25.49,119.2,20,1.0,94,77.0,2020-05-10
165,Butterworth,MY,5.4,100.36,40,1.5,84,84.72200000000004,2020-05-10
166,Tuktoyaktuk,CA,69.45,-133.04,20,6.7,74,37.4,2020-05-10
167,Khandyga,RU,62.67,135.6,98,2.02,81,36.64400000000008,2020-05-10
168,Xinqing,CN,48.23,129.5,21,0.95,26,76.17200000000004,2020-05-10
169,Nevers,FR,46.99,3.16,98,1.87,89,55.99400000000007,2020-05-10
170,Kapit,MY,2.02,112.93,100,0.85,55,92.4260000000001,2020-05-10
171,Lüderitz,NA,-26.65,15.16,0,2.6,82,55.400000000000006,2020-05-10
172,Maningrida,AU,-12.07,134.27,2,5.35,49,89.40200000000007,2020-05-10
173,Departamento de Maldonado,UY,-34.67,-54.92,0,1.5,87,54.42800000000007,2020-05-10
174,Constitución,CL,-35.33,-72.42,33,1.27,86,55.70600000000003,2020-05-10
175,Fuerte Olimpo,PY,-21.04,-57.87,0,2.51,71,63.518000000000086,2020-05-10
176,Ōmachi,JP,36.5,137.87,75,8.7,82,66.61400000000003,2020-05-10
177,Ancud,CL,-41.87,-73.82,75,5.7,87,49.01000000000008,2020-05-10
178,Kaitangata,NZ,-46.28,169.85,100,1.79,70,60.00800000000001,2020-05-10
179,Deputatsky,RU,69.3,139.9,90,4.57,99,28.65200000000008,2020-05-10
180,Longyearbyen,SJ,78.22,15.64,40,4.6,61,15.8,2020-05-10
181,Yenagoa,NG,4.92,6.26,100,1.52,93,78.06200000000007,2020-05-10
182,Bethel,US,41.37,-73.41,1,3.6,69,33.728000000000065,2020-05-10
183,Lagoa,PT,39.05,-27.98,61,13.73,73,59.018000000000086,2020-05-10
184,Maceió,BR,-9.67,-35.74,20,1.5,94,73.4,2020-05-10
185,Ambilobe,MG,-13.2,49.05,29,1.91,87,70.61000000000008,2020-05-10
186,Batemans Bay,AU,-35.72,150.18,0,2.24,27,62.99600000000005,2020-05-10
187,Beidao,CN,34.57,105.89,0,2.67,34,68.48600000000008,2020-05-10
188,Kabompo,ZM,-13.59,24.2,100,2.44,80,56.53399999999999,2020-05-10
189,Port Hedland,AU,-20.32,118.57,88,8.7,31,86.0,2020-05-10
190,Alihe,CN,50.57,123.72,100,3.78,84,41.14400000000008,2020-05-10
191,Keskin,TR,39.67,33.61,0,1.56,71,46.004000000000055,2020-05-10
192,Windhoek,NA,-22.56,17.08,0,3.1,41,53.13200000000002,2020-05-10
193,Samarai,PG,-10.62,150.67,92,6.44,81,81.05000000000001,2020-05-10
194,Charters Towers,AU,-20.1,146.27,3,6.49,29,83.71400000000003,2020-05-10
195,Jacareacanga,BR,-6.22,-57.75,100,0.32,95,74.89400000000008,2020-05-10
196,Mehamn,NO,71.04,27.85,75,4.22,91,29.210000000000083,2020-05-10
197,Abu Kamal,SY,34.45,40.92,0,6.25,48,67.40600000000003,2020-05-10
198,Portarlington,IE,53.16,-7.19,33,4.47,90,51.998000000000026,2020-05-10
199,Zhireken,RU,52.82,117.31,99,4.18,40,49.658,2020-05-10
200,Airai,TL,-8.93,125.41,53,2.16,70,71.11400000000003,2020-05-10
201,Kumul,CN,42.8,93.45,0,1.14,23,65.91200000000006,2020-05-10
202,Tucupita,VE,9.06,-62.05,19,1.78,86,74.084,2020-05-10
203,Sisophon,KH,13.59,102.97,100,2.76,55,93.00200000000008,2020-05-10
204,Hofn,IS,64.25,-15.21,0,1.44,78,31.262000000000057,2020-05-10
205,Mobai,SL,7.99,-10.75,80,0.48,98,73.94000000000003,2020-05-10
206,Robe,AU,-37.18,139.75,54,6.41,64,57.794000000000075,2020-05-10
207,Dingle,PH,11.0,122.67,97,3.56,49,93.11000000000008,2020-05-10
208,Tsiroanomandidy,MG,-18.77,46.03,99,1.29,88,64.4,2020-05-10
209,San Angelo,US,31.46,-100.44,0,2.68,46,69.13399999999999,2020-05-10
210,Nikolskiy,RU,60.92,34.06,17,1.35,81,38.588000000000044,2020-05-10
211,Hualmay,PE,-11.1,-77.61,24,4.71,86,66.68600000000006,2020-05-10
212,Kargasok,RU,59.06,80.86,7,2.36,40,71.45600000000003,2020-05-10
213,Caravelas,BR,-17.71,-39.25,42,4.43,76,71.33000000000004,2020-05-10
214,Jardim,BR,-21.48,-56.14,0,2.04,63,60.56600000000001,2020-05-10
215,Poum,NC,-20.23,164.02,0,2.58,67,76.4600000000001,2020-05-10
216,Kidal,ML,18.44,1.41,0,0.16,15,77.45,2020-05-10
217,Badvel,IN,14.75,79.05,32,1.35,54,88.03399999999999,2020-05-10
218,Yarkovo,RU,57.4,67.08,78,4.03,37,66.97400000000002,2020-05-10
219,General Roca,AR,-39.03,-67.58,35,7.7,38,68.0,2020-05-10
220,Baoro,CF,5.67,15.97,99,1.46,97,67.38800000000005,2020-05-10
221,Codrington,AU,-38.27,141.97,93,6.1,71,56.102000000000075,2020-05-10
222,Chara,RU,56.91,118.26,100,1.3,77,36.82400000000001,2020-05-10
223,Camacha,PT,33.08,-16.33,75,7.2,72,64.4,2020-05-10
224,Ossora,RU,59.24,163.07,100,4.36,91,36.104000000000056,2020-05-10
225,Bereda,ES,43.27,-7.54,100,0.89,100,50.0,2020-05-10
226,Pringsewu,ID,-5.36,104.97,97,0.43,70,86.43200000000002,2020-05-10
227,Ternovskaya,RU,45.85,40.41,32,4.64,87,44.99600000000005,2020-05-10
228,Vardø,NO,70.37,31.11,100,4.71,96,32.59400000000007,2020-05-10
229,Sola,VU,-13.88,167.55,75,2.6,70,86.0,2020-05-10
230,Saint-Junien,FR,45.88,0.9,100,3.6,82,58.08200000000002,2020-05-10
231,Pangody,RU,65.85,74.49,93,5.81,88,34.610000000000085,2020-05-10
232,Elizabeth City,US,36.29,-76.25,1,2.6,61,46.25600000000003,2020-05-10
233,Morón,AR,-34.65,-58.62,0,0.89,71,59.63000000000004,2020-05-10
234,Nakło nad Notecią,PL,53.14,17.6,0,1.0,81,45.320000000000064,2020-05-10
235,Bandar-e Lengeh,IR,26.56,54.88,72,0.8,94,78.80000000000001,2020-05-10
236,Nemuro,JP,43.32,145.57,100,5.1,81,50.0,2020-05-10
237,Srednekolymsk,RU,67.45,153.68,100,7.0,79,39.254000000000055,2020-05-10
238,Kabo,CF,7.7,18.63,57,2.41,83,71.51000000000008,2020-05-10
239,Lavrentiya,RU,65.58,-171.0,100,4.54,90,35.79800000000002,2020-05-10
240,Hong Kong,HK,22.29,114.16,20,6.2,66,88.71800000000009,2020-05-10
241,Garissa,KE,-0.45,39.64,93,7.17,69,77.59400000000008,2020-05-10
242,Sitka,US,57.05,-135.33,75,2.1,28,69.80000000000001,2020-05-10
243,Rosário do Sul,BR,-30.26,-54.91,0,3.1,75,54.464000000000034,2020-05-10
244,Kirby,US,29.46,-98.39,90,3.6,63,67.38800000000005,2020-05-10
245,Marinette,US,45.1,-87.63,90,1.5,60,44.27600000000009,2020-05-10
246,Alamosa,US,37.47,-105.87,40,8.7,26,55.400000000000006,2020-05-10
247,Mirny,RU,62.54,113.96,90,6.0,100,37.4,2020-05-10
248,Urucará,BR,-2.54,-57.76,69,0.37,93,75.00200000000008,2020-05-10
249,Berlevåg,NO,70.86,29.09,80,3.91,92,30.074000000000012,2020-05-10
250,Asău,RO,46.43,26.4,0,1.99,78,48.992,2020-05-10
251,Vilhena,BR,-12.74,-60.15,76,1.83,93,68.27000000000007,2020-05-10
252,Geraldton,AU,-28.77,114.6,95,6.7,24,78.80000000000001,2020-05-10
253,Clyde River,CA,70.47,-68.59,1,6.7,84,1.3999999999999986,2020-05-10
254,Nome,US,64.5,-165.41,1,5.1,46,53.34800000000003,2020-05-10
255,Port Augusta,AU,-32.5,137.77,0,3.1,59,57.254000000000055,2020-05-10
256,Mbaïki,CF,3.87,17.99,100,0.92,96,69.7100000000001,2020-05-10
257,San Patricio,MX,19.22,-104.7,0,2.03,78,74.69600000000005,2020-05-10
258,Havøysund,NO,71.0,24.66,0,6.7,84,32.0,2020-05-10
259,Praia da Vitória,PT,38.73,-27.07,75,11.52,88,64.4,2020-05-10
260,Provideniya,RU,64.38,-173.3,100,14.89,88,36.57200000000004,2020-05-10
261,Coyhaique,CL,-45.58,-72.07,90,2.1,93,41.0,2020-05-10
262,Östersund,SE,63.18,14.64,100,1.5,94,32.0,2020-05-10
263,Mount Gambier,AU,-37.83,140.77,40,6.2,76,57.2,2020-05-10
264,Tura,IN,25.52,90.22,0,0.72,29,92.22800000000007,2020-05-10
265,Peleduy,RU,59.63,112.74,100,3.02,90,42.22400000000001,2020-05-10
266,Leningradskiy,RU,69.38,178.42,100,5.6,96,30.05600000000003,2020-05-10
267,Maputo,MZ,-25.97,32.59,40,3.1,88,66.29000000000002,2020-05-10
268,Yurimaguas,PE,-5.9,-76.08,50,0.42,85,69.566,2020-05-10
269,Arnprior,CA,45.43,-76.35,100,4.69,69,35.00600000000003,2020-05-10
270,Lorengau,PG,-2.02,147.27,4,4.38,69,86.99000000000002,2020-05-10
271,Saint Anthony,US,45.02,-93.22,90,4.6,80,40.208000000000006,2020-05-10
272,Araouane,ML,18.9,-3.53,0,1.23,14,83.48000000000005,2020-05-10
273,Telford,GB,52.68,-2.45,100,0.5,87,52.610000000000085,2020-05-10
274,Ucluelet,CA,48.93,-125.55,99,2.09,58,69.00800000000001,2020-05-10
275,Athabasca,CA,54.72,-113.29,98,2.89,69,41.46800000000009,2020-05-10
276,Kauhajoki,FI,62.43,22.18,82,4.1,74,36.53600000000007,2020-05-10
277,Kavieng,PG,-2.57,150.8,84,5.85,76,85.82000000000006,2020-05-10
278,Necochea,AR,-38.55,-58.74,0,3.13,91,48.992,2020-05-10
279,Palmer,US,42.16,-72.33,1,6.2,51,34.214000000000034,2020-05-10
280,Coahuayana Viejo,MX,18.73,-103.68,0,0.1,83,75.57800000000006,2020-05-10
281,Port Blair,IN,11.67,92.75,49,2.58,73,86.52200000000005,2020-05-10
282,Mahébourg,MU,-20.41,57.7,40,3.6,73,73.4,2020-05-10
283,Conil,FR,44.97,3.72,95,2.24,100,44.33000000000004,2020-05-10
284,Patrocínio,BR,-18.94,-46.99,0,2.6,77,54.71600000000001,2020-05-10
